,NAME,Count
0,ADMIRALTY,4
1,ALJUNIED,2
2,ANG MO KIO INTERCHANGE,12
3,BAKAU,1
4,BANGKIT,4
5,BAYFRONT,2
6,BEAUTY WORLD,3
7,BEDOK,7
8,BEDOK NORTH,1
9,BENCOOLEN,9
10,BENDEMEER,1
11,BISHAN INTERCHANGE,7
12,BOON KENG,1
13,BOON LAY INTERCHANGE,10
14,BRADDELL,1
15,BRAS BASAH,7
16,BUANGKOK,5
17,BUGIS,7
18,BUGIS MRT,8
19,BUKIT BATOK,5
20,BUKIT GOMBAK,3
21,BUKIT PANJANG,11
22,BUONA VISTA INTERCHANGE,5
23,CANBERRA,1
24,CHANGI AIRPORT,11
25,CHENG LIM,5
26,CHINATOWN,9
27,CHINESE GARDEN,1
28,CHOA CHU KANG,6
29,CHOA CHU KANG WEST,1
30,CITY HALL,9
31,CLARKE QUAY,10
32,CLEMENTI,7
33,COMMONWEALTH,1
34,COMPASSVALE,3
35,CORAL EDGE,1
36,CORPORATION,1
37,DEFU,1
38,DHOBY GHAUT INTERCHANGE,6
39,DOVER,1
40,ESPLANADE,7
41,EUNOS,1
42,EXPO INTERCHANGE,5
43,FARMWAY,2
44,FARRER PARK,2
45,FERNVALE,4
46,GEK POH,1
47,GREAT WORLD,2
48,HARBOURFRONT INTERCHANGE,8
49,HILLVIEW,1
50,HOLLAND VILLAGE,4
51,HOUGANG INTERCHANGE,4
52,JALAN BESAR,1
53,JELEPANG,1
54,JOO KOON,1
55,JURONG EAST INTERCHANGE,8
56,KAKI BUKIT,1
57,KALLANG,1
58,KANGKAR,3
59,KEAT HONG,1
60,KENT RIDGE,1
61,KHATIB,3
62,KOVAN,3
63,KRANJI,2
64,LABRADOR PARK,3
65,LAVENDER,3
66,LAYAR,4
67,MARINA BAY,2
68,MARINE PARADE,5
69,MARSILING,1
70,MATTAR ,1
71,MAYFLOWER,1
72,NANYANG CRESCENT,1
73,NOVENA,7
74,OASIS,2
75,ONE NORTH,2
76,ORCHARD,11
77,OUTRAM PARK,1
78,PASIR RIS EAST,6
79,PASIR RIS INTERCHANGE,6
80,PAYA LEBAR INTERCHANGE,12
81,PENDING,4
82,PENG KANG HILL,2
83,PETIR,10
84,PHOENIX,1
85,PIONEER,1
86,POTONG PASIR,2
87,PRINCE EDWARD ROAD,2
88,PROMENADE,10
89,PUNGGOL,9
90,PUNGGOL CENTRAL,9
91,PUNGGOL COAST,3
92,PUNGGOL POINT,2
93,QUEENSTOWN,1
94,RAFFLES PLACE INTERCHANGE,5
95,RANGGUNG,3
96,REDHILL,2
97,RENJONG,4
98,RIVER VALLEY,1
99,RIVIERA,1
100,ROCHOR,2
101,RUMBIA,3
102,SAMUDERA,2
103,SEGAR,1
104,SEMBAWANG,6
105,SENGKANG,4
106,SENGKANG CENTRAL,4
107,SENJA,11
108,SERANGOON INTERCHANGE,9
109,SERANGOON NORTH,1
110,SHENTON WAY,2
111,SIMEI,3
112,SOMERSET,10
113,SOO TECK,1
114,STADIUM,2
115,SUM KEE,8
116,SUMANG,7
117,TAI SENG,3
118,TAMPINES,17
119,TAMPINES EAST,4
120,TAMPINES WEST,1
121,TAN KAH KEE,1
122,TANJONG PAGAR,5
123,TECK LEE,3
124,TECK WHYE,2
125,TELOK AYER,8
126,TELOK BLANGAH,1
127,TENGAH PLANTATION,2
128,TIONG BAHRU ,5
129,TOA PAYOH,8
130,TONGKANG,1
131,UBI,4
132,UPPER THOMSON,3
133,WOODLANDS INTERCHANGE,6
134,WOODLANDS SOUTH,2
135,WOODLEIGH,5
136,YEW TEE,4
137,YISHUN,13
